UUID,Subject,Student,Point
94bdfae7-9333-46ac-8021-9580e053f902,04ef3106-842d-4aa5-b3c6-47a26244f3c9,0e24dd71-9356-4116-ad29-a4b5b146e995,91
fc4a530e-2531-425b-b71b-940eae46ce44,29649024-9f8b-42d7-b397-c82d1cf9754b,0e24dd71-9356-4116-ad29-a4b5b146e995,49
b33bff6d-a185-435c-ab1d-c33130ea3530,697d6fe1-1fb6-4afb-a160-03fcee76532f,0e24dd71-9356-4116-ad29-a4b5b146e995,5
36e24cfb-c5a9-4bad-b8ef-c6c99eac9b71,9c20ab8e-c3ce-43a4-8a32-d0d6a5281f57,0e24dd71-9356-4116-ad29-a4b5b146e995,84
77eefc74-6514-4b01-a9e2-ba18c7b99e7e,c25a9b47-ffe6-4889-a289-12453200d17f,0e24dd71-9356-4116-ad29-a4b5b146e995,19
a1b44727-ac8a-4e1d-88e1-f27992983ac8,363cbdd0-b1d8-45cc-96ec-2ddd6b86d0ee,0e24dd71-9356-4116-ad29-a4b5b146e995,39
9cc5c64a-6888-4173-9cfd-90d7b12f95a6,33f41cbf-dbfc-493b-9b3e-36b88a6bca77,0e24dd71-9356-4116-ad29-a4b5b146e995,27
3566e935-f576-434c-a7b8-cf861b0f6da7,6346a07c-7c07-42fc-b68e-b13462d889a3,0e24dd71-9356-4116-ad29-a4b5b146e995,89
c1f046e4-71ac-4b02-ad99-a434f22b551a,b4f10d51-c91c-492f-8267-ea73e68f3ee7,0e24dd71-9356-4116-ad29-a4b5b146e995,59
daeb9770-b2ce-49b3-85f7-b319360001c9,ad525104-71e2-4844-977c-e03341f1a498,0e24dd71-9356-4116-ad29-a4b5b146e995,4
26c02f10-a0ff-4c7d-b19c-246ce5fd0246,04ef3106-842d-4aa5-b3c6-47a26244f3c9,328fe9b5-43f2-4f70-aee4-757412bf8fce,26
5b99b91c-378d-4504-9598-70ee38962e66,29649024-9f8b-42d7-b397-c82d1cf9754b,328fe9b5-43f2-4f70-aee4-757412bf8fce,35
e2757156-ad7b-4d41-8ede-1aed4fa127c1,697d6fe1-1fb6-4afb-a160-03fcee76532f,328fe9b5-43f2-4f70-aee4-757412bf8fce,72
3c0a5049-fdad-48d8-8b76-f384252216d6,9c20ab8e-c3ce-43a4-8a32-d0d6a5281f57,328fe9b5-43f2-4f70-aee4-757412bf8fce,15
f7feaada-03af-422c-a509-7546e9de8802,c25a9b47-ffe6-4889-a289-12453200d17f,328fe9b5-43f2-4f70-aee4-757412bf8fce,28
6946405d-4966-43ce-a3ad-d127f9a87b69,363cbdd0-b1d8-45cc-96ec-2ddd6b86d0ee,328fe9b5-43f2-4f70-aee4-757412bf8fce,84
f64e66f5-72c8-42d5-b236-fef9ef5bbb4f,33f41cbf-dbfc-493b-9b3e-36b88a6bca77,328fe9b5-43f2-4f70-aee4-757412bf8fce,28
9a5d4c47-6579-47bd-ae2e-beefd8790f8d,6346a07c-7c07-42fc-b68e-b13462d889a3,328fe9b5-43f2-4f70-aee4-757412bf8fce,15
6a5dd950-4ddb-41b8-85fb-98fab9efdcfb,b4f10d51-c91c-492f-8267-ea73e68f3ee7,328fe9b5-43f2-4f70-aee4-757412bf8fce,8
46b710c3-774b-4f68-8e38-a47c7d0829af,ad525104-71e2-4844-977c-e03341f1a498,328fe9b5-43f2-4f70-aee4-757412bf8fce,66
56e1bed7-78a4-4d01-a192-7de34064ef84,04ef3106-842d-4aa5-b3c6-47a26244f3c9,eac1efdd-fa84-493b-9590-19de8ea253bd,82
d50c0971-9a6f-4320-8eac-7379179742b7,29649024-9f8b-42d7-b397-c82d1cf9754b,eac1efdd-fa84-493b-9590-19de8ea253bd,60
e886d5d5-4de6-475d-943b-fd4ac7005763,697d6fe1-1fb6-4afb-a160-03fcee76532f,eac1efdd-fa84-493b-9590-19de8ea253bd,77
9417f254-1d51-4c80-aa02-de56d1099b14,9c20ab8e-c3ce-43a4-8a32-d0d6a5281f57,eac1efdd-fa84-493b-9590-19de8ea253bd,22
4fdbd054-8d3d-4a92-85e0-1fdd2990cd7b,c25a9b47-ffe6-4889-a289-12453200d17f,eac1efdd-fa84-493b-9590-19de8ea253bd,95
55eb8131-d8a1-4f90-870b-d7b607bb6a4b,363cbdd0-b1d8-45cc-96ec-2ddd6b86d0ee,eac1efdd-fa84-493b-9590-19de8ea253bd,48
1d0a19ba-4b61-46fc-be15-eb9439ff90b9,33f41cbf-dbfc-493b-9b3e-36b88a6bca77,eac1efdd-fa84-493b-9590-19de8ea253bd,41
